date,vendor,type,url
2025-10-11,acme,pricing,https://www.cg-alert.com/vendors/acme/
2025-10-10,stellarid,dpa,https://www.cg-alert.com/vendors/stellarid/
2025-10-09,atlasdb,status,https://www.cg-alert.com/vendors/atlasdb/
2025-10-09,flowkit,subprocessors,https://www.cg-alert.com/vendors/flowkit/
2025-10-08,edgeai,pricing,https://www.cg-alert.com/vendors/edgeai/
2025-10-07,graphly,tos,https://www.cg-alert.com/vendors/graphly/
2025-10-07,safemail,status,https://www.cg-alert.com/vendors/safemail/
2025-10-06,logboard,pricing,https://www.cg-alert.com/vendors/logboard/
2025-10-05,queuefox,dpa,https://www.cg-alert.com/vendors/queuefox/
2025-10-05,pixelpush,subprocessors,https://www.cg-alert.com/vendors/pixelpush/
