when,email,code,detail
2023-01-01T00:00:00Z,procurement@notion.so,Host not reachable.,2025-10-10T17:30:47.000Z
2023-01-01T00:00:00Z,procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:33:24.000Z
2023-01-01T00:00:00Z,vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:43:39.000Z
2023-01-01T00:00:00Z,vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:43:50.000Z
2023-01-01T00:00:00Z,procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:44:01.000Z
2023-01-01T00:00:00Z,purchasing@snowflake.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:34:11.000Z
2025-10-11T07:37:16Z,procurement@asana.com,Delivery Status Notification (Failure),
procurement@notion.so,Host not reachable.,2025-10-10T17:30:47.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:10:52.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:11:08.000Z
unknown,bounce,2025-10-11T15:11:18.000Z
vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:11:20.000Z
procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:11:31.000Z
purchasing@snowflake.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:11:37.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:32:38.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:33:24.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:33:33.000Z
unknown,bounce,2025-10-11T15:33:43.000Z
procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:34:03.000Z
purchasing@snowflake.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:34:11.000Z
vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:35:07.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:43:39.000Z
unknown,bounce,2025-10-11T15:43:49.000Z
vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:43:50.000Z
procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:44:01.000Z
procurement@notion.so,Host not reachable.,2025-10-10T17:30:47.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:10:52.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:11:08.000Z
unknown,bounce,2025-10-11T15:11:18.000Z
vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:11:20.000Z
procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:11:31.000Z
purchasing@snowflake.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:11:37.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:32:38.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:33:24.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:33:33.000Z
unknown,bounce,2025-10-11T15:33:43.000Z
procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:34:03.000Z
purchasing@snowflake.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:34:11.000Z
vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:35:07.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:43:39.000Z
unknown,bounce,2025-10-11T15:43:49.000Z
vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:43:50.000Z
procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:44:01.000Z
procurement@notion.so,Host not reachable.,2025-10-10T17:30:47.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:10:52.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:11:08.000Z
unknown,bounce,2025-10-11T15:11:18.000Z
vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:11:20.000Z
procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:11:31.000Z
purchasing@snowflake.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:11:37.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:32:38.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:33:24.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:33:33.000Z
unknown,bounce,2025-10-11T15:33:43.000Z
procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:34:03.000Z
purchasing@snowflake.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:34:11.000Z
vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:35:07.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:43:39.000Z
unknown,bounce,2025-10-11T15:43:49.000Z
vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:43:50.000Z
procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:44:01.000Z
procurement@notion.so,Host not reachable.,2025-10-10T17:30:47.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:10:52.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:11:08.000Z
unknown,bounce,2025-10-11T15:11:18.000Z
vendor@stripe.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:11:20.000Z
procurement@slack.com,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:11:31.000Z
purchasing@snowflake.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:11:37.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:32:38.000Z
procurement@asana.com,smtp; The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. For more information; go to https://support.google.com/mail/?p=NoSuchUser,2025-10-11T15:33:24.000Z
vendor@linear.app,5.1.1 The email account that you tried to reach does not exist. Please try,2025-10-11T15:33:33.000Z
